 90 50.6083 57.1309
 90 56.8454 53.9529
 100 56.8454 53.9529
 100 50.6083 57.1309
#

 90 50.6083 57.1309
 90 58.9949 62.577
 100 58.9949 62.577
 100 50.6083 57.1309
#

 90 50.6083 57.1309
 90 50.0849 67.1169
 100 50.0849 67.1169
 100 50.6083 57.1309
#

 90 50.6083 57.1309
 90 44.3713 60.3088
 100 44.3713 60.3088
 100 50.6083 57.1309
#

 90 50.6083 57.1309
 90 42.2218 51.6847
 100 42.2218 51.6847
 100 50.6083 57.1309
#

 90 50.6083 57.1309
 90 51.1318 47.1448
 100 51.1318 47.1448
 100 50.6083 57.1309
#

 90 50.6083 57.1309
 90 56.8454 53.9529
 100 56.8454 53.9529
 100 50.6083 57.1309
#

